entry_weekday,pnl,trades,win_rate
Monday,6748.1,315,53.02
Tuesday,2720.31,241,51.04
Wednesday,3745.77,234,50.43
Thursday,6785.38,260,56.54
Friday,5708.78,178,55.06
Sunday,3476.42,96,59.38
