entry_weekday,pnl,trades,win_rate
Monday,4365.65,451,47.89
Tuesday,2383.53,330,47.88
Wednesday,4492.61,309,49.51
Thursday,3209.6,359,48.75
Friday,4018.63,233,47.64
Sunday,2534.92,133,50.38
