entry_month,pnl,trades,win_rate
2025-01,3130.82,206,48.54
2025-02,1677.82,172,53.49
2025-03,1757.95,231,48.92
2025-04,9568.18,271,52.4
2025-05,3182.35,208,50.48
2025-06,703.27,214,47.2
2025-07,989.18,235,46.38
2025-08,-278.42,36,38.89
2025-10,987.21,80,50.0
2025-11,-892.64,108,37.04
2025-12,179.22,54,44.44
