entry_weekday,pnl,trades,win_rate
Monday,3745.54,383,58.22
Tuesday,3092.57,292,60.62
Wednesday,4098.82,253,61.66
Thursday,2465.43,303,57.43
Friday,4107.23,186,58.06
Sunday,2331.83,154,60.39
