hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,449.1,487.5,213.1,50.9,0.0
1,417.1,0.0,-87.9,0.0,-5.0,0.0
2,166.0,0.0,0.0,429.9,0.0,0.0
3,256.3,398.1,80.0,0.0,111.3,0.0
4,-159.5,559.0,347.5,0.0,0.0,0.0
5,0.0,-234.5,0.0,-384.8,856.2,0.0
6,219.5,123.0,438.9,301.8,-551.9,0.0
7,-31.1,453.4,351.9,0.0,0.0,0.0
8,176.1,-478.1,0.0,-290.9,0.0,0.0
9,405.4,0.0,0.0,306.4,917.6,0.0
10,778.9,198.3,560.2,937.1,0.0,0.0
11,830.5,0.0,0.0,285.3,1453.2,0.0
12,0.0,41.6,246.0,0.0,1051.3,0.0
13,-690.5,244.9,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,276.1,0.0,0.0
15,34.7,0.0,0.0,667.6,0.0,0.0
16,504.2,600.6,480.0,0.0,223.5,0.0
17,0.0,0.0,-78.1,118.1,0.0,1336.1
18,157.5,339.9,634.7,0.0,0.0,811.3
19,-44.8,101.7,172.1,132.7,0.0,297.3
20,-298.4,0.0,9.4,0.0,0.0,0.0
21,848.8,0.0,0.0,-403.4,0.0,0.0
22,174.9,482.0,0.0,49.4,0.0,-112.9
23,0.0,-186.6,456.6,-172.8,0.0,0.0
