trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250102-110000-001-V2-1,O-20250102-110000-001-V2-3,BUY,FLAT,0.00,100000.00,1735815600000000000,2025-01-02 11:00:00+00:00,1735816200000000000,2025-01-02 11:10:00+00:00,600000000000.0,1.03168,1.03285,['4.13 USD'],0.00113,112.87 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250102-113000-001-V2-4,O-20250102-113000-001-V2-5,BUY,FLAT,0.00,100000.00,1735817400000000000,2025-01-02 11:30:00+00:00,1735829640000000000,2025-01-02 14:54:00+00:00,12240000000000.0,1.03222,1.03027,['4.12 USD'],-0.00189,-199.12 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250102-153000-001-V2-7,O-20250102-153000-001-V2-8,BUY,FLAT,0.00,100000.00,1735831800000000000,2025-01-02 15:30:00+00:00,1735833780000000000,2025-01-02 16:03:00+00:00,1980000000000.0,1.02857,1.02608,['4.11 USD'],-0.00242,-253.11 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250102-161500-001-V2-10,O-20250102-161500-001-V2-12,BUY,FLAT,0.00,100000.00,1735834500000000000,2025-01-02 16:15:00+00:00,1735887360000000000,2025-01-03 06:56:00+00:00,52860000000000.0,1.02575,1.02786,['4.11 USD'],0.00206,206.89 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250103-081500-001-V2-13,O-20250103-081500-001-V2-14,BUY,FLAT,0.00,100000.00,1735892100000000000,2025-01-03 08:15:00+00:00,1735893540000000000,2025-01-03 08:39:00+00:00,1440000000000.0,1.02845,1.02742,['4.11 USD'],-0.001,-107.11 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250103-164500-001-V2-16,O-20250103-164500-001-V2-18,BUY,FLAT,0.00,100000.00,1735922700000000000,2025-01-03 16:45:00+00:00,1735924080000000000,2025-01-03 17:08:00+00:00,1380000000000.0,1.02899,1.03026,['4.12 USD'],0.00123,122.88 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250103-171500-001-V2-19,O-20250103-171500-001-V2-21,BUY,FLAT,0.00,100000.00,1735924500000000000,2025-01-03 17:15:00+00:00,1736129340000000000,2025-01-06 02:09:00+00:00,204840000000000.0,1.03026,1.03141,['4.12 USD'],0.00112,110.88 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250106-030000-001-V2-22,O-20250106-030000-001-V2-24,SELL,FLAT,0.00,100000.00,1736132400000000000,2025-01-06 03:00:00+00:00,1736143080000000000,2025-01-06 05:58:00+00:00,10680000000000.0,1.03161,1.03098,['4.12 USD'],0.00061,58.88 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250106-081500-001-V2-25,O-20250106-081500-001-V2-26,SELL,FLAT,0.00,100000.00,1736151300000000000,2025-01-06 08:15:00+00:00,1736153820000000000,2025-01-06 08:57:00+00:00,2520000000000.0,1.03371,1.03484,['4.14 USD'],-0.00109,-117.14 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250106-090000-001-V2-28,O-20250106-090000-001-V2-30,SELL,FLAT,0.00,100000.00,1736154000000000000,2025-01-06 09:00:00+00:00,1736154180000000000,2025-01-06 09:03:00+00:00,180000000000.0,1.03503,1.03405,['4.14 USD'],0.00095,93.86 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250106-093000-001-V2-31,O-20250106-093000-001-V2-33,SELL,FLAT,0.00,100000.00,1736155800000000000,2025-01-06 09:30:00+00:00,1736158560000000000,2025-01-06 10:16:00+00:00,2760000000000.0,1.03584,1.03446,['4.14 USD'],0.00133,133.86 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250106-160000-001-V2-34,O-20250106-160000-001-V2-35,SELL,FLAT,0.00,100000.00,1736179200000000000,2025-01-06 16:00:00+00:00,1736240460000000000,2025-01-07 09:01:00+00:00,61260000000000.0,1.03936,1.04294,['4.17 USD'],-0.00344,-362.17 USD,True
BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250107-091500-001-V2-37,O-20250107-091500-001-V2-39,SELL,FLAT,0.00,100000.00,1736241300000000000,2025-01-07 09:15:00+00:00,1736248920000000000,2025-01-07 11:22:00+00:00,7620000000000.0,1.04263,1.04135,['4.17 USD'],0.00123,123.83 USD,True
