hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0,16,17,12,11,0
1,19,0,16,0,24,0
2,19,0,0,31,0,0
3,29,28,27,0,34,0
4,32,22,22,0,0,0
5,0,13,0,20,28,0
6,26,18,24,16,17,0
7,14,19,15,0,0,0
8,28,17,0,32,0,0
9,11,0,0,24,27,0
10,30,20,16,15,0,0
11,18,0,0,21,27,0
12,0,29,25,0,19,0
13,28,17,0,0,0,0
14,0,0,0,26,0,0
15,24,0,0,16,0,0
16,16,28,31,0,26,0
17,0,0,11,20,0,28
18,16,17,6,0,0,49
19,9,12,21,21,0,29
20,28,0,30,0,0,0
21,24,0,0,25,0,0
22,25,27,0,15,0,28
23,0,21,26,20,0,0
