hour_EST,pnl,trades,win_rate
0,1112.1,47,65.96
1,321.74,45,55.56
2,363.56,33,57.58
3,1070.38,89,60.67
4,1332.21,58,62.07
5,1023.59,45,60.0
6,416.36,75,56.0
7,787.94,34,61.76
8,-117.93,59,50.85
9,3155.95,44,70.45
10,1514.72,53,58.49
11,2041.62,48,66.67
12,1236.82,59,57.63
13,518.86,36,58.33
14,350.49,24,58.33
15,1142.29,30,70.0
16,1609.55,82,63.41
17,826.4,54,57.41
18,1163.02,96,56.25
19,1172.17,89,62.92
20,767.11,51,56.86
21,142.2,43,58.14
22,1100.89,84,58.33
23,1184.65,56,66.07
