hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,83.33333333333334,66.66666666666666,57.14285714285714,53.84615384615385,0.0
1,81.25,0.0,33.33333333333333,0.0,47.05882352941176,0.0
2,50.0,0.0,0.0,60.0,0.0,0.0
3,48.0,77.27272727272727,52.94117647058824,0.0,64.0,0.0
4,51.85185185185185,68.75,73.33333333333333,0.0,0.0,0.0
5,0.0,60.0,0.0,57.14285714285714,61.904761904761905,0.0
6,60.0,66.66666666666666,57.14285714285714,66.66666666666666,28.57142857142857,0.0
7,62.5,62.5,60.0,0.0,0.0,0.0
8,65.21739130434783,30.0,0.0,46.15384615384615,0.0,0.0
9,66.66666666666666,0.0,0.0,66.66666666666666,76.47058823529412,0.0
10,66.66666666666666,57.14285714285714,46.15384615384615,63.63636363636363,0.0,0.0
11,52.94117647058824,0.0,0.0,69.23076923076923,77.77777777777779,0.0
12,0.0,52.17391304347826,64.28571428571429,0.0,59.09090909090909,0.0
13,56.00000000000001,63.63636363636363,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,58.333333333333336,0.0,0.0
15,55.55555555555556,0.0,0.0,91.66666666666666,0.0,0.0
16,72.22222222222221,65.21739130434783,63.63636363636363,0.0,52.63157894736842,0.0
17,0.0,0.0,60.0,53.84615384615385,0.0,58.06451612903226
18,47.368421052631575,50.0,71.42857142857143,0.0,0.0,59.61538461538461
19,37.5,46.666666666666664,56.52173913043478,82.35294117647058,0.0,73.07692307692307
20,56.00000000000001,0.0,57.692307692307686,0.0,0.0,0.0
21,60.86956521739131,0.0,0.0,55.00000000000001,0.0,0.0
22,52.63157894736842,56.00000000000001,0.0,66.66666666666666,0.0,59.09090909090909
23,0.0,68.42105263157895,71.42857142857143,56.25,0.0,0.0
