client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250218-053000-001-V2-669,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-669,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-95259,LIMIT,SELL,100000.00,GTC,True,False,100000.00,MAKER,1.046,-5.0000000000105516e-05,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250218-053000-001-V2-223,['O-20250218-053000-001-V2-668'],O-20250218-053000-001-V2-667,,,,['V2_POS1_TP'],c1d367f1-5262-4f34-a561-6c8c13e45fe1,1739856600000000000,1739859720000000000,,,,,1.04595,False,
O-20250218-123000-001-V2-670,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-670,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-95996,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04541,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250218-123000-001-V2-224,"['O-20250218-123000-001-V2-671', 'O-20250218-123000-001-V2-672']",,,,,['V2_POS1'],eb960fa8-c2f7-40b6-af0d-46810a3b37df,1739881800000000000,1739881800000000000,,,,,,,
O-20250218-123000-001-V2-671,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-671,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,STOP_MARKET,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-123000-001-V2-224,['O-20250218-123000-001-V2-672'],O-20250218-123000-001-V2-670,,,,['V2_POS1_SL'],c64d2979-eea4-49d5-87ff-aef40bb51f00,1739881800000000000,1739882160000000000,1.04491,DEFAULT,,,,,
O-20250218-123000-001-V2-672,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-672,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-96009,LIMIT,SELL,100000.00,GTC,True,False,100000.00,MAKER,1.04601,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250218-123000-001-V2-224,['O-20250218-123000-001-V2-671'],O-20250218-123000-001-V2-670,,,,['V2_POS1_TP'],ccd44f9d-84d8-4101-8c69-d34bd6b5803a,1739881800000000000,1739882160000000000,,,,,1.04601,False,
O-20250218-130000-001-V2-673,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-673,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-96058,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04552,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250218-130000-001-V2-225,"['O-20250218-130000-001-V2-674', 'O-20250218-130000-001-V2-675']",,,,,['V2_POS1'],72b4af52-813b-493d-9e0e-48ae98bfda8b,1739883600000000000,1739883600000000000,,,,,,,
O-20250218-130000-001-V2-674,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-674,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-96079,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.04469,0.00031000000000003247,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250218-130000-001-V2-225,['O-20250218-130000-001-V2-675'],O-20250218-130000-001-V2-673,,,,['V2_POS1_SL'],cd6f5715-677a-4e8f-be04-974f797c5332,1739883600000000000,1739884200000000000,1.04500,DEFAULT,,,,,
O-20250218-130000-001-V2-675,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-675,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-130000-001-V2-225,['O-20250218-130000-001-V2-674'],O-20250218-130000-001-V2-673,,,,['V2_POS1_TP'],a6297401-53e5-4fef-8d89-41c36106fba7,1739883600000000000,1739884200000000000,,,,,1.04614,False,
O-20250218-131500-001-V2-676,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-676,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-96090,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.04497,0.0,['2.09 USD'],NO_TRIGGER,FILLED,OTO,OL-20250218-131500-001-V2-226,"['O-20250218-131500-001-V2-677', 'O-20250218-131500-001-V2-678']",,,,,['V2_POS1'],07adbe4b-9b84-42eb-bde5-bed4043c1ad6,1739884500000000000,1739884500000000000,,,,,,,
O-20250218-131500-001-V2-677,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-677,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-96175,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.04426,0.000140000000000029,['2.09 USD'],NO_TRIGGER,FILLED,OUO,OL-20250218-131500-001-V2-226,['O-20250218-131500-001-V2-678'],O-20250218-131500-001-V2-676,,,,['V2_POS1_SL'],480b1d4a-64f0-4066-9952-ba6d52289424,1739884500000000000,1739887020000000000,1.04440,DEFAULT,,,,,
O-20250218-131500-001-V2-678,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-678,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250218-131500-001-V2-226,['O-20250218-131500-001-V2-677'],O-20250218-131500-001-V2-676,,,,['V2_POS1_TP'],4b650127-e072-48f0-ab03-42a11f0c75fd,1739884500000000000,1739887020000000000,,,,,1.04563,False,
