hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,160.6,252.1,-19.0,298.6,0.0
1,267.7,0.0,430.8,0.0,243.9,0.0
2,276.1,0.0,0.0,241.4,0.0,0.0
3,-505.7,403.2,450.8,0.0,-231.3,0.0
4,153.1,291.7,1281.5,0.0,0.0,0.0
5,0.0,709.0,0.0,-481.2,1245.8,0.0
6,-34.1,-191.3,462.2,-419.4,-36.7,0.0
7,858.7,-305.3,191.1,0.0,0.0,0.0
8,775.4,-202.5,0.0,-685.2,0.0,0.0
9,222.7,0.0,0.0,1072.6,1506.9,0.0
10,1152.5,-262.0,4.3,1114.3,0.0,0.0
11,84.7,0.0,0.0,387.2,439.6,0.0
12,0.0,707.9,-22.5,0.0,948.3,0.0
13,-654.2,54.7,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1141.6,0.0,0.0
15,249.0,0.0,0.0,684.3,0.0,0.0
16,93.6,298.7,631.6,0.0,-396.6,0.0
17,0.0,0.0,202.9,-60.1,0.0,879.8
18,372.6,93.6,478.8,0.0,0.0,833.7
19,-252.6,-24.1,-153.4,243.7,0.0,169.8
20,669.9,0.0,-352.2,0.0,0.0,0.0
21,426.4,0.0,0.0,-414.3,0.0,0.0
22,210.0,362.0,0.0,-9.3,0.0,651.5
23,0.0,287.4,634.6,413.0,0.0,0.0
