hour_EST,pnl,trades,win_rate
0,710.38,81,58.02
1,40.86,74,54.05
2,1071.1,68,63.24
3,-337.42,141,53.19
4,1162.82,95,60.0
5,404.18,73,56.16
6,248.16,133,53.38
7,863.98,58,58.62
8,-374.3,94,50.0
9,1346.35,86,54.65
10,2506.01,93,62.37
11,1453.25,82,57.32
12,1885.88,94,60.64
13,-986.76,58,44.83
14,347.2,32,56.25
15,722.81,51,58.82
16,1083.0,137,59.12
17,1902.94,85,63.53
18,1880.03,134,61.94
19,153.18,132,58.33
20,-73.1,77,51.95
21,-71.13,72,58.33
22,826.64,126,56.35
23,665.19,87,59.77
