trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250905-120700-001-MA_CROSS-497,O-20250905-143700-001-MA_CROSS-500,BUY,FLAT,0.00,100000.00,1757074020000000000,2025-09-05 12:07:00+00:00,1757083020000000000,2025-09-05 14:37:00+00:00,9000000000000,1.169459999999,1.1732700000010001,['4.69 USD'],0.00326,376.31 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250905-150600-001-MA_CROSS-501,O-20250905-164600-001-MA_CROSS-504,BUY,FLAT,0.00,100000.00,1757084760000000000,2025-09-05 15:06:00+00:00,1757090760000000000,2025-09-05 16:46:00+00:00,6000000000000,1.173939999999,1.174490000001,['4.70 USD'],0.00047,50.30 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250905-202100-001-MA_CROSS-505,O-20250907-212700-001-MA_CROSS-508,BUY,FLAT,0.00,100000.00,1757103660000000000,2025-09-05 20:21:00+00:00,1757280420000000000,2025-09-07 21:27:00+00:00,176760000000000,1.172009999999,1.1717200000010002,['4.68 USD'],-0.00025,-33.68 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250908-010900-001-MA_CROSS-509,O-20250908-034900-001-MA_CROSS-512,BUY,FLAT,0.00,100000.00,1757293740000000000,2025-09-08 01:09:00+00:00,1757303340000000000,2025-09-08 03:49:00+00:00,9600000000000,1.171589999999,1.170830000001,['4.68 USD'],-0.00065,-80.68 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250908-044800-001-MA_CROSS-513,O-20250908-092600-001-MA_CROSS-516,BUY,FLAT,0.00,100000.00,1757306880000000000,2025-09-08 04:48:00+00:00,1757323560000000000,2025-09-08 09:26:00+00:00,16680000000000,1.171389999999,1.1725700000009998,['4.69 USD'],0.00101,113.31 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250908-111700-001-MA_CROSS-517,O-20250908-163800-001-MA_CROSS-520,BUY,FLAT,0.00,100000.00,1757330220000000000,2025-09-08 11:17:00+00:00,1757349480000000000,2025-09-08 16:38:00+00:00,19260000000000,1.173049999999,1.1739200000010002,['4.70 USD'],0.00074,82.30 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250908-182000-001-MA_CROSS-521,O-20250909-030600-001-MA_CROSS-524,BUY,FLAT,0.00,100000.00,1757355600000000000,2025-09-08 18:20:00+00:00,1757387160000000000,2025-09-09 03:06:00+00:00,31560000000000,1.1750299999990002,1.1768000000010002,['4.70 USD'],0.00151,172.30 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250909-044600-001-MA_CROSS-525,O-20250909-063500-001-MA_CROSS-528,BUY,FLAT,0.00,100000.00,1757393160000000000,2025-09-09 04:46:00+00:00,1757399700000000000,2025-09-09 06:35:00+00:00,6540000000000,1.1773299999990001,1.1766600000010001,['4.70 USD'],-0.00057,-71.70 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250909-092200-001-MA_CROSS-529,O-20250909-104600-001-MA_CROSS-532,BUY,FLAT,0.00,100000.00,1757409720000000000,2025-09-09 09:22:00+00:00,1757414760000000000,2025-09-09 10:46:00+00:00,5040000000000,1.176439999999,1.1756800000010001,['4.70 USD'],-0.00065,-80.70 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250909-215200-001-MA_CROSS-533,O-20250909-233100-001-MA_CROSS-536,BUY,FLAT,0.00,100000.00,1757454720000000000,2025-09-09 21:52:00+00:00,1757460660000000000,2025-09-09 23:31:00+00:00,5940000000000,1.171119999999,1.170040000001,['4.68 USD'],-0.00092,-112.68 USD,True
