entry_weekday,pnl,trades,win_rate
Monday,4827.15,428,57.24
Tuesday,3273.27,336,57.74
Wednesday,3693.13,309,57.61
Thursday,3380.77,344,59.01
Friday,3840.25,223,57.4
Sunday,3133.86,140,62.86
