config,folder,name,MTF2_SL_ATR_MULT,MTF2_POS1_TP_ATR_MULT,MTF2_POS2_TP_ATR_MULT,MTF2_POS1_FRACTION,MTF2_POS2_FRACTION,MTF2_POS3_FRACTION,MTF2_TRAILING_DISTANCE_ATR_MULT,MTF2_PREDICTION_THRESHOLD,total_pnl,num_trades,win_rate,sharpe,max_drawdown,max_drawdown_pct,neg_days,neg_months,total_days,total_months,score
SL1.2_TP1.0_TR0.4_TH0.65,OPT_SL1.2_TP1.0_TR0.4_TH0.65_032520,SL1.2_TP1.0_TR0.4_TH0.65,1.2,1.0,1.0,1.0,0.0,0.0,0.4,0.65,27344.02,1648,0.625,2.0895362639865125,-1626.4799999999814,5.795552210853025,89,1,230,11,0.5580830711303462
SL1.2_TP0.8_TR0.5_TH0.65,OPT_SL1.2_TP0.8_TR0.5_TH0.65_024305,SL1.2_TP0.8_TR0.5_TH0.65,1.2,0.8,0.8,1.0,0.0,0.0,0.5,0.65,27456.240000000005,1839,0.6786296900489397,2.1491946890712708,-1314.9799999999996,4.728254283989389,86,2,231,11,0.5572416221575929
SL1.2_TP0.8_TR0.4_TH0.65,OPT_SL1.2_TP0.8_TR0.4_TH0.65_020047,SL1.2_TP0.8_TR0.4_TH0.65,1.2,0.8,0.8,1.0,0.0,0.0,0.4,0.65,27456.240000000005,1839,0.6786296900489397,2.1491946890712708,-1314.9799999999996,4.728254283989389,86,2,231,11,0.5572416221575929
SL1.0_TP1.2_TR0.4_TH0.68,OPT_SL1.0_TP1.2_TR0.4_TH0.68_233453,SL1.0_TP1.2_TR0.4_TH0.68,1.0,1.2,1.2,1.0,0.0,0.0,0.4,0.68,25485.97,1227,0.5615321923390383,2.451617268483768,-1382.3400000000006,5.281705074424313,88,1,226,11,0.556521369119433
SL1.0_TP1.2_TR0.5_TH0.68,OPT_SL1.0_TP1.2_TR0.5_TH0.68_001707,SL1.0_TP1.2_TR0.5_TH0.68,1.0,1.2,1.2,1.0,0.0,0.0,0.5,0.68,25485.97,1227,0.5615321923390383,2.451617268483768,-1382.3400000000006,5.281705074424313,88,1,226,11,0.556521369119433
SL1.0_TP0.8_TR0.5_TH0.68,OPT_SL1.0_TP0.8_TR0.5_TH0.68_212645,SL1.0_TP0.8_TR0.5_TH0.68,1.0,0.8,0.8,1.0,0.0,0.0,0.5,0.68,24830.519999999997,1463,0.6561859193438141,2.579798793359705,-1448.8099999999972,5.743120037039856,76,2,229,11,0.5405338829295727
SL1.0_TP0.8_TR0.4_TH0.68,OPT_SL1.0_TP0.8_TR0.4_TH0.68_204226,SL1.0_TP0.8_TR0.4_TH0.68,1.0,0.8,0.8,1.0,0.0,0.0,0.4,0.68,24830.519999999997,1463,0.6561859193438141,2.579798793359705,-1448.8099999999972,5.743120037039856,76,2,229,11,0.5405338829295727
SL1.2_TP1.5_TR0.5_TH0.65,OPT_SL1.2_TP1.5_TR0.5_TH0.65_065002,SL1.2_TP1.5_TR0.5_TH0.65,1.2,1.5,1.5,1.0,0.0,0.0,0.5,0.65,29184.76,1324,0.5362537764350453,2.204754080218761,-2316.259999999951,7.738986213053332,85,1,224,11,0.5366235108930687
SL1.2_TP1.5_TR0.4_TH0.65,OPT_SL1.2_TP1.5_TR0.4_TH0.65_060955,SL1.2_TP1.5_TR0.4_TH0.65,1.2,1.5,1.5,1.0,0.0,0.0,0.4,0.65,29184.76,1324,0.5362537764350453,2.204754080218761,-2316.259999999951,7.738986213053332,85,1,224,11,0.5366235108930687
SL1.0_TP1.5_TR0.5_TH0.68,OPT_SL1.0_TP1.5_TR0.5_TH0.68_013940,SL1.0_TP1.5_TR0.5_TH0.68,1.0,1.5,1.5,1.0,0.0,0.0,0.5,0.68,26308.75,1111,0.5103510351035103,2.47502708652179,-1802.4400000000023,6.6166464581500355,84,2,224,11,0.5128890623034791
SL1.0_TP1.5_TR0.4_TH0.68,OPT_SL1.0_TP1.5_TR0.4_TH0.68_005834,SL1.0_TP1.5_TR0.4_TH0.68,1.0,1.5,1.5,1.0,0.0,0.0,0.4,0.68,26308.75,1111,0.5103510351035103,2.47502708652179,-1802.4400000000023,6.6166464581500355,84,2,224,11,0.5128890623034791
SL1.0_TP1.0_TR0.4_TH0.68,OPT_SL1.0_TP1.0_TR0.4_TH0.68_220943,SL1.0_TP1.0_TR0.4_TH0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.68,24236.69,1334,0.6011994002998501,2.4121841049437385,-1462.5200000000007,5.901281882122056,82,3,227,11,0.5098929180955906
SL1.0_TP1.0_TR0.5_TH0.68,OPT_SL1.0_TP1.0_TR0.5_TH0.68_225222,SL1.0_TP1.0_TR0.5_TH0.68,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.68,24236.69,1334,0.6011994002998501,2.4121841049437385,-1462.5200000000007,5.901281882122056,82,3,227,11,0.5098929180955906
SL1.0_TP1.0_TR0.5_TH0.65,OPT_SL1.0_TP1.0_TR0.5_TH0.65_223116,SL1.0_TP1.0_TR0.5_TH0.65,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.65,22148.43,1780,0.5820224719101124,1.6770968277035156,-1796.250000000011,7.808828573552617,89,1,229,11,0.4918141995395081
SL1.0_TP1.0_TR0.4_TH0.65,OPT_SL1.0_TP1.0_TR0.4_TH0.65_214837,SL1.0_TP1.0_TR0.4_TH0.65,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.65,22148.43,1780,0.5820224719101124,1.6770968277035156,-1796.250000000011,7.808828573552617,89,1,229,11,0.4918141995395081
SL1.0_TP1.2_TR0.4_TH0.65,OPT_SL1.0_TP1.2_TR0.4_TH0.65_231410,SL1.0_TP1.2_TR0.4_TH0.65,1.0,1.2,1.2,1.0,0.0,0.0,0.4,0.65,26582.05,1635,0.5486238532110091,1.9616616994058376,-2324.2400000000125,8.333700853183949,88,2,229,11,0.48768676232348
SL1.0_TP1.2_TR0.5_TH0.65,OPT_SL1.0_TP1.2_TR0.5_TH0.65_235618,SL1.0_TP1.2_TR0.5_TH0.65,1.0,1.2,1.2,1.0,0.0,0.0,0.5,0.65,26582.05,1635,0.5486238532110091,1.9616616994058376,-2324.2400000000125,8.333700853183949,88,2,229,11,0.48768676232348
SL1.0_TP0.8_TR0.5_TH0.65,OPT_SL1.0_TP0.8_TR0.5_TH0.65_210452,SL1.0_TP0.8_TR0.5_TH0.65,1.0,0.8,0.8,1.0,0.0,0.0,0.5,0.65,22403.9,1967,0.6349771225216065,1.736681845954239,-1850.8400000000074,8.229228959964157,88,2,230,11,0.47393738995141393
SL1.0_TP0.8_TR0.4_TH0.65,OPT_SL1.0_TP0.8_TR0.4_TH0.65_202042,SL1.0_TP0.8_TR0.4_TH0.65,1.0,0.8,0.8,1.0,0.0,0.0,0.4,0.65,22403.9,1967,0.6349771225216065,1.736681845954239,-1850.8400000000074,8.229228959964157,88,2,230,11,0.47393738995141393
SL0.8_TP1.2_TR0.5_TH0.68,OPT_SL0.8_TP1.2_TR0.5_TH0.68_195857,SL0.8_TP1.2_TR0.5_TH0.68,0.8,1.2,1.2,1.0,0.0,0.0,0.5,0.68,20162.47,1329,0.49736644093303234,1.9627791360861038,-1397.089999999982,6.693922961120176,91,2,227,11,0.46400680285927065
SL0.8_TP1.2_TR0.4_TH0.68,OPT_SL0.8_TP1.2_TR0.4_TH0.68_191220,SL0.8_TP1.2_TR0.4_TH0.68,0.8,1.2,1.2,1.0,0.0,0.0,0.4,0.68,20162.47,1329,0.49736644093303234,1.9627791360861038,-1397.089999999982,6.693922961120176,91,2,227,11,0.46400680285927065
SL0.8_TP0.8_TR0.4_TH0.68,OPT_SL0.8_TP0.8_TR0.4_TH0.68_154050,SL0.8_TP0.8_TR0.4_TH0.68,0.8,0.8,0.8,1.0,0.0,0.0,0.4,0.68,19841.420000000002,1571,0.5926161680458307,2.067513848937161,-1675.0199999999932,8.138367108368232,84,3,229,11,0.45302020376986496
SL0.8_TP0.8_TR0.5_TH0.68,OPT_SL0.8_TP0.8_TR0.5_TH0.68_163529,SL0.8_TP0.8_TR0.5_TH0.68,0.8,0.8,0.8,1.0,0.0,0.0,0.5,0.68,19841.420000000002,1571,0.5926161680458307,2.067513848937161,-1675.0199999999932,8.138367108368232,84,3,229,11,0.45302020376986496
SL0.8_TP1.0_TR0.5_TH0.68,OPT_SL0.8_TP1.0_TR0.5_TH0.68_182554,SL0.8_TP1.0_TR0.5_TH0.68,0.8,1.0,1.0,1.0,0.0,0.0,0.5,0.68,18027.38,1431,0.5345911949685535,1.827910822450756,-1333.919999999991,6.985754281518661,86,2,228,11,0.4517814956091464
SL1.0_TP1.5_TR0.4_TH0.65,OPT_SL1.0_TP1.5_TR0.4_TH0.65_003813,SL1.0_TP1.5_TR0.4_TH0.65,1.0,1.5,1.5,1.0,0.0,0.0,0.4,0.65,24454.04,1462,0.48632010943912446,1.7813669946582733,-3446.019999999953,13.005080858601929,96,2,227,11,0.4290652012851833
SL1.0_TP1.5_TR0.5_TH0.65,OPT_SL1.0_TP1.5_TR0.5_TH0.65_011928,SL1.0_TP1.5_TR0.5_TH0.65,1.0,1.5,1.5,1.0,0.0,0.0,0.5,0.65,24454.04,1462,0.48632010943912446,1.7813669946582733,-3446.019999999953,13.005080858601929,96,2,227,11,0.4290652012851833
SL0.8_TP1.2_TR0.4_TH0.65,OPT_SL0.8_TP1.2_TR0.4_TH0.65_184929,SL0.8_TP1.2_TR0.4_TH0.65,0.8,1.2,1.2,1.0,0.0,0.0,0.4,0.65,21004.940000000002,1815,0.48484848484848486,1.5213565074639117,-2105.0699999999306,9.335424162289671,94,2,231,11,0.42854830223259205
SL0.8_TP1.2_TR0.5_TH0.65,OPT_SL0.8_TP1.2_TR0.5_TH0.65_193708,SL0.8_TP1.2_TR0.5_TH0.65,0.8,1.2,1.2,1.0,0.0,0.0,0.5,0.65,21004.940000000002,1815,0.48484848484848486,1.5213565074639117,-2105.0699999999306,9.335424162289671,94,2,231,11,0.42854830223259205
SL0.8_TP1.0_TR0.4_TH0.65,OPT_SL0.8_TP1.0_TR0.4_TH0.65_170301,SL0.8_TP1.0_TR0.4_TH0.65,0.8,1.0,1.0,1.0,0.0,0.0,0.4,0.65,16645.7,1959,0.5176110260336907,1.2508476018040584,-2414.4799999998977,12.874452651268259,94,2,231,11,0.37954626109176065
SL0.8_TP1.0_TR0.5_TH0.65,OPT_SL0.8_TP1.0_TR0.5_TH0.65_175927,SL0.8_TP1.0_TR0.5_TH0.65,0.8,1.0,1.0,1.0,0.0,0.0,0.5,0.65,16645.7,1959,0.5176110260336907,1.2508476018040584,-2414.4799999998977,12.874452651268259,94,2,231,11,0.37954626109176065
SL0.8_TP0.8_TR0.5_TH0.65,OPT_SL0.8_TP0.8_TR0.5_TH0.65_160910,SL0.8_TP0.8_TR0.5_TH0.65,0.8,0.8,0.8,1.0,0.0,0.0,0.5,0.65,17431.249999999996,2163,0.5723532131299122,1.32707378318764,-2592.740000000009,13.912363176458008,95,3,231,11,0.37577956007561725
SL0.8_TP0.8_TR0.4_TH0.65,OPT_SL0.8_TP0.8_TR0.4_TH0.65_151347,SL0.8_TP0.8_TR0.4_TH0.65,0.8,0.8,0.8,1.0,0.0,0.0,0.4,0.65,17431.249999999996,2163,0.5723532131299122,1.32707378318764,-2592.740000000009,13.912363176458008,95,3,231,11,0.37577956007561725
